ZIP Code, Classification, City, Population,
96708, General, Haiku, 10220,
96713, General, Hana, 1990,
96729, PO Box, Hoolehua, 1303,
96732, General, Kahului, 24816,
96733, PO Box, Kahului, 0,
96748, General, Kaunakakai, 4503,
96753, General, Kihei, 26892,
96757, PO Box, Kualapuu, 758,
96761, General, Lahaina, 22156,
96763, PO Box, Lanai City, 3135,
96767, PO Box, Lahaina, 0,
96768, General, Makawao, 17668,
96770, PO Box, Maunaloa, 691,
96779, General, Paia, 3088,
96784, PO Box, Puunene, 0,
96788, PO Box, Pukalani, 0,
96790, General, Kula, 8065,
96793, General, Wailuku, 29549
